event	freq_diff	mean_logtpm	pval	pval.corr	comparison	group.i	group.j	mean_freq.i	mean_freq.j
Anogam_AGAP004976-RA	0	0.902628325272412	0.103688933200399	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004977-RA	0	0.90923735772939	0.106679960119641	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004978-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004979-RA	0	0.261091332810206	0.0932203389830508	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004980-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004981-RA	0	0.910322506917796	0.10518444666002	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004982-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004983-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004985-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004989-RA	0	0.841262498658196	0.0977068793619142	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004989-RB	0	-0.173960968712058	0.100199401794616	0.117523816438212	OeCa A	Oe	Ca	0	0
Anogam_AGAP004991-RA	0	-0.608011188873539	0.110169491525424	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004994-RA	0	0.817184323134059	0.101694915254237	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004995-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004996-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004999-RA	0	1.54235332916902	0.102691924227318	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP005001-RA	1	1.18983864756626	0.000498504486540374	0.117523816438212	OeCa A	Oe	Ca	1	0
Anogam_AGAP005001-RB	-1	0.609241416513522	0.000498504486540374	0.117523816438212	OeCa A	Oe	Ca	0	1
Anogam_AGAP005002-RA	-0.226260464100022	0.907760006423564	0.0209371884346959	0.117523816438212	OeCa A	Oe	Ca	0.533365775648862	0.759626239748884
Anogam_AGAP005002-RB	0.226260464100022	-Inf	0.0119284294234592	0.117523816438212	OeCa A	Oe	Ca	0.466634224351138	0.240373760251116
Anogam_AGAP005003-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP005007-RA	0	0.947771790523266	0.109172482552343	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP005008-RA	0.150365073204628	-Inf	0.0188866799204772	0.117523816438212	OeCa A	Oe	Ca	0.851875188059838	0.701510114855211
Anogam_AGAP005008-RB	-0.150365073204628	0.736324189177631	0.0259222333000997	0.117523816438212	OeCa A	Oe	Ca	0.148124811940162	0.298489885144789
Anogam_AGAP005013-RA	0	1.091750326771	0.101196410767697	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP005015-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP028754-RA	NA	-0.138796190056797	NA	NA	OeCa A	Oe	Ca	1	NA
Anogam_AGAP005018-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP005020-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP005021-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP005023-RA	0	0.522678763023886	0.100697906281157	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP005025-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP005027-RA	0	1.45346373302552	0.106181455633101	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP005030-RA	0	-0.7754364940622	0.0972083748753739	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP005031-RA	0.000158395774631837	-0.17246329110116	0.098703888334995	0.117523816438212	OeCa A	Oe	Ca	0.958315698586676	0.958157302812044
Anogam_AGAP005031-RB	-0.000158395774631899	0.239124457715811	0.10518444666002	0.117523816438212	OeCa A	Oe	Ca	0.0416843014133241	0.041842697187956
Anogam_AGAP005033-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP005034-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP005035-RA	0	0.0880672161686436	0.0992023928215354	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP005036-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP005037-RA	-0.311236773219107	-Inf	0.00497017892644136	0.117523816438212	OeCa A	Oe	Ca	0.0610660077383389	0.372302780957446
Anogam_AGAP005037-RB	0.311236773219107	-0.0144826417526797	0.0114656031904287	0.117523816438212	OeCa A	Oe	Ca	0.938933992261661	0.627697219042554
Anogam_AGAP005039-RA	0	0.722855035272739	0.0982053838484546	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP005040-RA	0	1.86908250595931	0.0912263210368893	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP005041-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP005043-RA	0.0392381407312008	-Inf	0.0447316103379722	0.117523816438212	OeCa A	Oe	Ca	0.0477829304992251	0.00854478976802435
Anogam_AGAP005043-RB	-0.0392381407312008	1.18732554550896	0.0722831505483549	0.117523816438212	OeCa A	Oe	Ca	0.952217069500775	0.991455210231976
Anogam_AGAP005044-RB	0.0823319079606971	-0.239803046095994	0.0413758723828515	0.117523816438212	OeCa A	Oe	Ca	0.183366905041819	0.101034997081122
Anogam_AGAP005044-RA	-0.082331907960697	0.472134540193927	0.0403788634097707	0.117523816438212	OeCa A	Oe	Ca	0.816633094958181	0.898965002918878
Anogam_AGAP005047-RA	0	1.1445103305821	0.108175473579262	0.117523816438212	OeCa A	Oe	Ca	1	1
